SYMBOL,hv20,hv50,hv100,LAST_CLOSE_DT,CLOSE_PX,curiv,Days,Percentile
@BOF,8,16,16,2019-20-12,34.38,19.27,589,82
@BOG,-1,-1,-1,2020-17-01,32.48,17.55,495,21
@BOH,18,21,19,2020-31-01,29.94,26.67,594,98
@BOJ,-1,-1,-1,2020-31-01,30.3,24.74,523,70
@BOK,17,20,18,2020-31-01,30.3,23.14,589,100
@BON,17,20,18,2020-31-01,30.69,20.96,588,94
@BOQ,17,19,17,2020-31-01,30.81,19.9,588,79
@BOU,16,19,18,2020-31-01,30.92,19.57,588,78
@BOV,16,19,21,2020-31-01,31.02,18.1,588,77
@BOZ,16,30,24,2020-31-01,33.65,9.6,590,0
@BZG,9,21,30,2019-23-12,68.38,3.05,583,0
@BZH,26,25,30,2020-31-01,58.16,58.47,598,98
@BZJ,26,25,29,2020-31-01,56.62,27.91,597,47
@BZK,25,24,28,2020-31-01,56.42,31.33,600,74
@BZM,24,23,27,2020-31-01,56.24,31.44,590,87
@BZN,24,23,26,2020-31-01,55.98,30.28,596,76
@BZQ,23,22,25,2020-31-01,55.79,30.32,590,75
@BZU,22,22,30,2020-31-01,55.61,29.4,584,70
@BZV,22,21,26,2019-26-08,60.4,6.71,560,0
@BZX,21,20,36,2019-09-10,60.75,78.48,570,100
@BZZ,20,19,36,2019-08-11,60.21,86.69,598,99
@CBF,-1,-1,-1,2019-13-12,203,28.65,584,96
@CBG,-1,-1,-1,2020-10-01,197,29.51,585,97
@CBH,-1,-1,-1,2020-31-01,197.6,20.37,592,66
@CBJ,-1,-1,-1,2020-31-01,201.52,15.86,580,45
@CBK,-1,-1,-1,2020-31-01,205.52,14.65,588,42
@CBM,-1,-1,-1,2020-31-01,208.07,14.27,588,43
@CBN,-1,-1,-1,2020-31-01,210.77,13.66,587,44
@CBQ,-1,-1,-1,2020-31-01,212.75,13.15,588,39
@CBU,-1,-1,-1,2020-31-01,214.25,12.19,588,26
@CBV,-1,-1,-1,2020-31-01,213.75,11.97,588,28
@CBX,-1,-1,-1,2020-31-01,213.48,11.47,588,21
@CBZ,-1,-1,-1,2020-31-01,211.27,10.96,587,17
@CCG,-1,-1,-1,2019-27-12,2532,24.54,569,41
@CCH,24,24,23,2020-31-01,2777,31.81,592,96
@CCJ,-1,-1,-1,2020-31-01,2801,26.17,560,46
@CCK,23,23,22,2020-31-01,2801,25.95,588,68
@CCN,21,22,21,2020-31-01,2811,23.57,590,30
@CCU,20,21,21,2020-31-01,2779,22.41,588,14
@CCZ,17,24,24,2020-31-01,2682,22.29,588,3
@CF,-1,-1,-1,2019-20-12,388.5,13.13,565,2
@CG,-1,-1,-1,2020-17-01,393.8,18.21,567,30
@CH,23,18,19,2020-31-01,381.2,16.17,594,28
@CJ,-1,-1,-1,2020-31-01,386.5,16.64,561,31
@CK,21,16,18,2020-31-01,386.5,17.94,589,62
@CLF,0,21,30,2019-09-12,60.07,26.01,588,36
@CLG,23,26,31,2020-08-01,58.23,27.93,589,62
